property_id,bank_name,property,reserve_price,emd,emd_last_date,auction_start_date,auction_end_date,state,district,city
BARB004420200020,BANK OF BARODA,RESIDENTIAL,"57,63,150.00","5,76,315.00",,,,GUJARAT,PORBANDAR,PORBANDAR
BARB005320200118,BANK OF BARODA,RESIDENTIAL,"4,51,980.00","45,198.00",,,,GUJARAT,MORBI,RAJPAR
BARB0202061,BANK OF BARODA,RESIDENTIAL,"11,00,000.00","1,10,000.00",,,,HARYANA,JIND,Jind
BARB0202062,BANK OF BARODA,RESIDENTIAL,"20,00,000.00","2,00,000.00",,,,HARYANA,JIND,Jind
BARB0202063,BANK OF BARODA,RESIDENTIAL,"34,00,000.00","3,40,000.00",,,,HARYANA,JIND,Jind
BARB0202065,BANK OF BARODA,COMMERCIAL,"31,00,000.00","3,10,000.00",,,,HARYANA,JIND,Jind
BARB263920200034,BANK OF BARODA,COMMERCIAL,"31,00,000.00","3,10,000.00",,,,HARYANA,FARIDABAD,FARIDABAD
BARB263920210001,BANK OF BARODA,INDUSTRIAL,"2,50,00,000.00","25,00,000.00",,,,HARYANA,SONIPAT,SONEPAT
BARB096420210003,BANK OF BARODA,RESIDENTIAL,"21,13,000.00","2,11,000.00",,,,HIMACHAL PRADESH,MANDI,mandi
BARB770820200002,BANK OF BARODA,RESIDENTIAL,"9,81,300.00","98,130.00",,,,HIMACHAL PRADESH,UNA,Nari chintpurni
CBINSHIMRO01,CENTRAL BANK OF INDIA,RESIDENTIAL,,.00,,,,HIMACHAL PRADESH,KULLU,"Village- Bandal, P.O Gushaini, Tehsil- Banjar,"
CBINSHIMRO04,CENTRAL BANK OF INDIA,RESIDENTIAL,"98,06,000.00","9,80,600.00",,,,HIMACHAL PRADESH,KULLU,"Tehsil- Bhuntar, District- Kullu"
CBINSHIMRO07,CENTRAL BANK OF INDIA,RESIDENTIAL,"88,00,000.00","8,80,000.00",,,,HIMACHAL PRADESH,SHIMLA,BAGHI
CBINSHIMRO08,CENTRAL BANK OF INDIA,RESIDENTIAL,"72,00,000.00","7,20,000.00",,,,HIMACHAL PRADESH,SHIMLA,"KANLOG,SHIMLA"
CBIN70060009,CENTRAL BANK OF INDIA,RESIDENTIAL,"10,50,000.00","1,05,000.00",,,,J& K,JAMMU,Village Deoli
CBIN70060012,CENTRAL BANK OF INDIA,COMMERCIAL,"51,00,000.00","5,10,000.00",,,,J& K,JAMMU,JAMMU
CBIN70060031,CENTRAL BANK OF INDIA,RESIDENTIAL,"63,00,000.00","6,30,000.00",,,,J& K,JAMMU,JAMMU
CBIN70060036,CENTRAL BANK OF INDIA,RESIDENTIAL,"50,00,000.00","5,00,000.00",,,,J& K,JAMMU,JAMMU
CBIN70060037,CENTRAL BANK OF INDIA,RESIDENTIAL,"50,00,000.00","5,00,000.00",,,,J& K,JAMMU,JAMMU
CBIN70060039,CENTRAL BANK OF INDIA,RESIDENTIAL,"50,00,000.00","5,00,000.00",,,,J& K,JAMMU,JAMMU
BARB599220200703,BANK OF BARODA,RESIDENTIAL,"14,58,000.00","1,46,000.00",,,,JHARKHAND,EAST SINGHBHUM,East Singhbhum
BARB599220200708,BANK OF BARODA,RESIDENTIAL,"55,53,000.00","5,55,300.00",,,,JHARKHAND,EAST SINGHBHUM,Mango
BARB599220200808,BANK OF BARODA,RESIDENTIAL,"33,12,000.00","3,31,200.00",,,,JHARKHAND,EAST SINGHBHUM,East Singhbhum
BARB599220200809,BANK OF BARODA,RESIDENTIAL,"53,70,000.00","5,37,000.00",,,,JHARKHAND,EAST SINGHBHUM,East Singhbhum
